"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QDZLYKAM","thesis","2018","Sorsa, Saijda","Protocol fuzz testing as a part of secure software development life cycle","","","","","https://trepo.tuni.fi/bitstream/handle/123456789/25667/Sorsa.pdf?sequence=4","","2018","2025-10-21 06:59:49","2025-10-21 06:59:49","2025-10-21 06:59:35","","","","","","","","","","","","Ph. D. Dissertation. Tampere University of Technology. Retrieved from https …","","","","PhD Thesis","","","Google Scholar","","","","C:\Users\bathi\Zotero\storage\9SE2N5WA\Sorsa - 2018 - Protocol fuzz testing as a part of secure software development life cycle.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FG29KCHC","bookSection","2025","Farid, Farnaz","A threat analysis framework for cyberattacks in smart cities: Ransomware in focus","Advances in the Internet of Things","","","","https://www.taylorfrancis.com/chapters/edit/10.1201/9781003506638-6/threat-analysis-framework-cyberattacks-smart-cities-farnaz-farid","","2025","2025-10-21 06:59:49","2025-10-21 06:59:49","2025-10-21 06:59:41","101–124","","","","","","A threat analysis framework for cyberattacks in smart cities","","","","","CRC Press","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CMG3F7HA","bookSection","2019","Wheeler, David M.; Fagbemi, Damilare D.","Security architecture for real IoT systems","The IoT Architect's Guide to Attainable Security and Privacy","","","","https://www.taylorfrancis.com/chapters/edit/10.1201/9780367440930-5/security-architecture-real-iot-systems-david-wheeler-damilare-fagbemi","","2019","2025-10-21 06:59:49","2025-10-21 06:59:49","2025-10-21 06:59:49","69–114","","","","","","","","","","","Auerbach Publications","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FKKMP5UB","bookSection","2021","Conte De Leon, Daniel; Makrakis, Georgios M.; Kolias, Constantinos","Cybersecurity","Resilient Control Architectures and Power Systems","978-1-119-66041-5 978-1-119-66044-6","","10.1002/9781119660446.ch7","https://onlinelibrary.wiley.com/doi/10.1002/9781119660446.ch7","","2021-12-09","2025-10-21 07:01:44","2025-10-21 07:01:44","2025-10-21 07:01:36","89-111","","","","","","","","","","","Wiley","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","","","","","Rieger, Craig; Boring, Ron; Johnson, Brian; McJunkin, Timothy","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H6KZFFTR","thesis","2018","Horcher, Ann-Marie","Conservation of Limited Resources: Design Principles for Security and Usability on Mobile Devices","","","","","https://search.proquest.com/openview/b1c6dbd595d7799cbec4aca58290937c/1?pq-origsite=gscholar&cbl=18750","","2018","2025-10-21 07:01:44","2025-10-21 07:01:44","2025-10-21 07:01:42","","","","","","","Conservation of Limited Resources","","","","","Nova Southeastern University","","","","PhD Thesis","","","Google Scholar","","","","C:\Users\bathi\Zotero\storage\SDV9XMPG\Horcher - 2018 - Conservation of Limited Resources Design Principles for Security and Usability on Mobile Devices.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5L2TBFWA","book","2019","Fagbemi, Damilare D.; Wheeler, David; Wheeler, J. Craig","The IoT architect's guide to attainable security and privacy","","","","","https://books.google.com/books?hl=fr&lr=&id=2ZWzDwAAQBAJ&oi=fnd&pg=PT17&dq=%22Complete+mediation%22+AND+(%22secure+design%22+OR+%22security+by+design%22+OR+%22security+design+principle%22)&ots=WkR6GWXas1&sig=v-LC6OVpkK2v5xKqYXymItx_hqo","","2019","2025-10-21 07:01:44","2025-10-21 07:01:44","2025-10-21 07:01:44","","","","","","","","","","","","CRC Press","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SCHGR7II","book","2017","Edgar, Thomas W.; Manz, David O.","Research methods for cyber security","","","","","https://books.google.com/books?hl=fr&lr=&id=aRl2DQAAQBAJ&oi=fnd&pg=PP1&dq=%22Complete+mediation%22+AND+(%22secure+design%22+OR+%22security+by+design%22+OR+%22security+design+principle%22)&ots=SmYNUxOAA6&sig=HlZru4UyhvLPK6bJ_bWKcKnhqe8","","2017","2025-10-21 07:03:23","2025-10-21 07:03:23","2025-10-21 07:03:21","","","","","","","","","","","","Syngress","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NH6WXZ5T","book","2016","Mead, Nancy R.; Woody, Carol","Cyber security engineering: A practical approach for systems and software assurance","","","","","https://books.google.com/books?hl=fr&lr=&id=10d1DQAAQBAJ&oi=fnd&pg=PT24&dq=%22Complete+mediation%22+AND+(%22secure+design%22+OR+%22security+by+design%22+OR+%22security+design+principle%22)&ots=e6S8iMt5nW&sig=CFcG1lYN0zyEZDeJOOgwTlCQRco","","2016","2025-10-21 07:04:48","2025-10-21 07:04:48","2025-10-21 07:04:37","","","","","","","Cyber security engineering","","","","","Addison-Wesley Professional","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UDYQP65M","bookSection","2017","Yankson, Benjamin; Iqbal, Farkhund; Hung, Patrick C. K.","Privacy Preservation Framework for Smart Connected Toys","Computing in Smart Toys","978-3-319-62071-8 978-3-319-62072-5","","10.1007/978-3-319-62072-5_9","http://link.springer.com/10.1007/978-3-319-62072-5_9","","2017","2025-10-21 07:04:48","2025-10-21 07:04:48","2025-10-21 07:04:39","149-164","","","","","","","","","","","Springer International Publishing","Cham","","","","","","DOI.org (Crossref)","","Series Title: International Series on Computer Entertainment and Media Technology","","C:\Users\bathi\Zotero\storage\GHHMPI2N\Yankson et al. - 2017 - Privacy Preservation Framework for Smart Connected Toys.pdf","","","","Tang, Jeff K.T.; Hung, Patrick C. K.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SK8BB4LF","thesis","2023","De Crecchio, Alessandro","Deep Attestation-Virtualise a Hardware-Bound Trusted Platform Module","","","","","https://webthesis.biblio.polito.it/28636/","","2023","2025-10-21 07:04:48","2025-10-21 07:04:48","2025-10-21 07:04:40","","","","","","","","","","","","Politecnico di Torino","","","","PhD Thesis","","","Google Scholar","","","","C:\Users\bathi\Zotero\storage\K74VFMKY\De Crecchio - 2023 - Deep Attestation-Virtualise a Hardware-Bound Trusted Platform Module.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7YD8KTRU","thesis","2016","Dautenhahn, Nathan D.","Protection in commodity monolithic operating systems","","","","","https://www.ideals.illinois.edu/items/95118","","2016","2025-10-21 07:04:48","2025-10-21 07:04:48","2025-10-21 07:04:44","","","","","","","","","","","","University of Illinois at Urbana-Champaign","","","","PhD Thesis","","","Google Scholar","","","","C:\Users\bathi\Zotero\storage\P77FS8DW\Dautenhahn - 2016 - Protection in commodity monolithic operating systems.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NBPILXPH","book","2023","Mishra, Ashish","Cloud Security Handbook for Architects: Practical Strategies and Solutions for Architecting Enterprise Cloud Security Using SECaaS and DevSecOps","","","","","https://books.google.com/books?hl=fr&lr=&id=4yRIEQAAQBAJ&oi=fnd&pg=PT29&dq=%22Complete+mediation%22+AND+(%22secure+design%22+OR+%22security+by+design%22+OR+%22security+design+principle%22)&ots=-wQGAL4Lep&sig=aMZTMM4rubfCaYLfR_KjbJH66jU","","2023","2025-10-21 07:04:48","2025-10-21 07:04:48","2025-10-21 07:04:48","","","","","","","Cloud Security Handbook for Architects","","","","","Orange Education Pvt Limited","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z38HCXA5","bookSection","2018","Salva, Sébastien; Regainia, Loukmen","A Security Pattern Classification Based on Data Integration","Information Systems Security and Privacy","978-3-319-93353-5 978-3-319-93354-2","","10.1007/978-3-319-93354-2_6","http://link.springer.com/10.1007/978-3-319-93354-2_6","","2018","2025-10-21 17:53:06","2025-10-21 17:53:06","2025-10-21 17:52:46","105-129","","","867","","","","","","","","Springer International Publishing","Cham","","","","","","DOI.org (Crossref)","","Series Title: Communications in Computer and Information Science","","C:\Users\bathi\Zotero\storage\SDX4CRU7\Salva et Regainia - 2018 - A Security Pattern Classification Based on Data Integration.pdf","","","","Mori, Paolo; Furnell, Steven; Camp, Olivier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I7L3K3DK","journalArticle","2019","Mardjan, Maikel; Jahan, Asim","Open Reference Architecture for Security and Privacy Documentation","Abgerufen von https://buildmedia. readthedocs. org/media/pdf/security-and-privacy-reference-architecture/latest/security-andprivacy-reference-architecture. pdf","","","","https://www.ismsforum.es/ficheros/descargas/open-reference-architecture-for-security-and.pdf","","2019","2025-10-21 17:53:06","2025-10-21 17:53:06","2025-10-21 17:52:54","","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\bathi\Zotero\storage\XEEXC5PR\Mardjan et Jahan - 2019 - Open Reference Architecture for Security and Privacy Documentation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5EKMJ5J9","book","2016","Paul, Mano","Official (ISC) 2 Guide to the CSSLP","","","","","https://books.google.com/books?hl=fr&lr=&id=Qf0YCwAAQBAJ&oi=fnd&pg=PT4&dq=%22Complete+mediation%22+AND+(%22secure+design%22+OR+%22security+by+design%22+OR+%22security+design+principle%22)&ots=iwLuWoBZDY&sig=xpNH-JoYA9Y4jmvJnFUcr_pP-gw","","2016","2025-10-21 17:53:06","2025-10-21 17:53:06","2025-10-21 17:52:56","","","","","","","","","","","","CRC Press","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RJ37MWWF","thesis","2021","Mathas, Christos-Minas","Secure coding practices for web applications","","","","","https://dione.lib.unipi.gr/xmlui/handle/unipi/13586","","2021","2025-10-21 17:53:06","2025-10-21 17:53:06","2025-10-21 17:52:58","","","","","","","","","","","","Πανεπıotaστ\acute\etaμıotao Πεıotaραıota\acuteømegaς","","","","Master's Thesis","","","Google Scholar","","","","C:\Users\bathi\Zotero\storage\K6XYCKFA\Mathas - 2021 - Secure coding practices for web applications.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TVJB7YAY","book","2020","Yao, Jiewen; Zimmer, Vincent","Building Secure Firmware: Armoring the Foundation of the Platform","","978-1-4842-6105-7 978-1-4842-6106-4","","10.1007/978-1-4842-6106-4","http://link.springer.com/10.1007/978-1-4842-6106-4","","2020","2025-10-21 17:53:06","2025-10-21 17:53:06","2025-10-21 17:52:58","","","","","","","Building Secure Firmware","","","","","Apress","Berkeley, CA","en","http://www.springer.com/tdm","","","","DOI.org (Crossref)","","","","C:\Users\bathi\Zotero\storage\DVNMLBUB\Yao et Zimmer - 2020 - Building Secure Firmware Armoring the Foundation of the Platform.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZKCBAK8","thesis","2021","Ki-Aries, Duncan","Security risk assessment in systems of systems.","","","","","http://eprints.bournemouth.ac.uk/35055/","","2021","2025-10-21 17:53:06","2025-10-21 17:53:06","2025-10-21 17:53:04","","","","","","","","","","","","Bournemouth University","","","","PhD Thesis","","","Google Scholar","","","","C:\Users\bathi\Zotero\storage\72LEHC8H\Ki-Aries - 2021 - Security risk assessment in systems of systems..pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BCQ3FCG","bookSection","2020","Agadakos, Ioannis; Anantharaman, Prashant; Ciocarlie, Gabriela F.; Copos, Bogdan; Emmi, Michael; Lepoint, Tancrède; Lindqvist, Ulf; Locasto, Michael; Song, Liwei","Securing Smart Cities: Implications and Challenges","Modeling and Design of Secure Internet of Things","978-1-119-59336-2 978-1-119-59338-6","","10.1002/9781119593386.ch9","https://onlinelibrary.wiley.com/doi/10.1002/9781119593386.ch9","","2020-07-15","2025-10-21 17:55:17","2025-10-21 17:55:17","2025-10-21 17:55:06","185-215","","","","","","Securing Smart Cities","","","","","Wiley","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","","","","","Kamhoua, Charles A.; Njilla, Laurent L.; Kott, Alexander; Shetty, Sachin","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VMCKX66W","book","2016","Brooks, Tyson T.","Cyber-assurance for the Internet of Things","","","","","https://books.google.com/books?hl=fr&lr=&id=q665DQAAQBAJ&oi=fnd&pg=PT13&dq=%22Complete+mediation%22+AND+(%22secure+design%22+OR+%22security+by+design%22+OR+%22security+design+principle%22)&ots=LGJfuJTU2V&sig=tS13dms4mkqB3y9PEvyXffJDF2w","","2016","2025-10-21 17:56:57","2025-10-21 17:56:57","2025-10-21 17:56:53","","","","","","","","","","","","John Wiley & Sons","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N9QTCQMY","thesis","2016","Aguda, Oluwatoyin Adeshola","Effectiveness of security requirements engineering in agile/scrum software development projects","","","","","https://search.proquest.com/openview/5340e1107bfc72678411dabfb722e4e7/1?pq-origsite=gscholar&cbl=18750","","2016","2025-10-21 17:56:57","2025-10-21 17:56:57","2025-10-21 17:56:55","","","","","","","","","","","","Colorado Technical University","","","","PhD Thesis","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KKXQKJMH","thesis","2019","Jawed, Mohammed","Continuous security in DevOps environment: Integrating automated security checks at each stage of continuous deployment pipeline","","","","","https://repositum.tuwien.at/handle/20.500.12708/8512","","2019","2025-10-21 17:56:57","2025-10-21 17:56:57","2025-10-21 17:56:57","","","","","","","Continuous security in DevOps environment","","","","","Wien","","","","PhD Thesis","","","Google Scholar","","","","C:\Users\bathi\Zotero\storage\QK7IITE5\Jawed - 2019 - Continuous security in DevOps environment Integrating automated security checks at each stage of co.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9XAVJLFL","thesis","2020","Jenkins, Ira Ray","Defense in Depth of Resource-Constrained Devices","","","","","https://search.proquest.com/openview/cd54e44a4c055f5a3eb3dd4b2195ade1/1?pq-origsite=gscholar&cbl=18750&diss=y","","2020","2025-10-21 17:58:30","2025-10-21 17:58:30","2025-10-21 17:58:28","","","","","","","","","","","","Dartmouth College","","","","PhD Thesis","","","Google Scholar","","","","C:\Users\bathi\Zotero\storage\KSXAEMKK\Jenkins - 2020 - Defense in Depth of Resource-Constrained Devices.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LDRZ6K2P","bookSection","2021","Van Oorschot, Paul C.","Security Concepts and Principles","Computer Security and the Internet","978-3-030-83410-4 978-3-030-83411-1","","10.1007/978-3-030-83411-1_1","https://link.springer.com/10.1007/978-3-030-83411-1_1","","2021","2025-10-21 17:58:30","2025-10-21 17:58:30","2025-10-21 17:58:28","1-28","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","DOI.org (Crossref)","","Series Title: Information Security and Cryptography","","","","","","","","","","","Van Oorschot, Paul C.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XNTUUFGI","book","2021","Van Oorschot, Paul C.","Computer Security and the Internet: Tools and Jewels from Malware to Bitcoin","","978-3-030-83410-4 978-3-030-83411-1","","10.1007/978-3-030-83411-1","https://link.springer.com/10.1007/978-3-030-83411-1","","2021","2025-10-21 17:58:30","2025-10-21 17:58:30","2025-10-21 17:58:28","","","","","","","Computer Security and the Internet","Information Security and Cryptography","","","","Springer International Publishing","Cham","en","https://www.springer.com/tdm","","","","DOI.org (Crossref)","","","","C:\Users\bathi\Zotero\storage\JH7YTBJP\Van Oorschot - 2021 - Computer Security and the Internet Tools and Jewels from Malware to Bitcoin.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4IPBVRXW","thesis","2023","Malone, Mac","Improving student enjoyment, time management, and performance using a secure, immersive gamified learning platform","","","","","https://search.proquest.com/openview/e871897e2b0e1f60c875ca9c450e0f5b/1?pq-origsite=gscholar&cbl=18750&diss=y","","2023","2025-10-21 17:58:30","2025-10-21 17:58:30","2025-10-21 17:58:30","","","","","","","","","","","","The University of North Carolina at Chapel Hill","","","","PhD Thesis","","","Google Scholar","","","","C:\Users\bathi\Zotero\storage\BGUHCS3T\Malone - 2023 - Improving student enjoyment, time management, and performance using a secure, immersive gamified lea.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27EE7KBM","book","2021","Von Faber, Eberhard","IT und IT-Sicherheit in Begriffen und Zusammenhängen: Thematisch sortiertes Lexikon mit alphabetischem Register zum Nachschlagen","","978-3-658-33430-7 978-3-658-33431-4","","10.1007/978-3-658-33431-4","http://link.springer.com/10.1007/978-3-658-33431-4","","2021","2025-10-21 17:59:40","2025-10-21 17:59:40","2025-10-21 17:59:26","","","","","","","IT und IT-Sicherheit in Begriffen und Zusammenhängen","Edition <kes>","","","","Springer Fachmedien Wiesbaden","Wiesbaden","de","http://www.springer.com/tdm","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VNEPE67B","book","2021","Raje, Gaurav","Security and Microservice Architecture on AWS","","","","","https://books.google.com/books?hl=fr&lr=&id=kDhCEAAAQBAJ&oi=fnd&pg=PR2&dq=%22Complete+mediation%22+AND+(%22secure+design%22+OR+%22security+by+design%22+OR+%22security+design+principle%22)&ots=E3C1zViZa3&sig=1aHaOiU2d5zbnxGjbUmzFTYRAO8","","2021","2025-10-21 17:59:40","2025-10-21 17:59:40","2025-10-21 17:59:28","","","","","","","","","","","",""" O'Reilly Media, Inc.""","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZSUFDR5I","bookSection","2020","Yao, Jiewen; Zimmer, Vincent","Proactive Firmware Security Development","Building Secure Firmware","978-1-4842-6105-7 978-1-4842-6106-4","","10.1007/978-1-4842-6106-4_2","http://link.springer.com/10.1007/978-1-4842-6106-4_2","","2020","2025-10-21 17:59:40","2025-10-21 17:59:40","2025-10-21 17:59:30","17-63","","","","","","","","","","","Apress","Berkeley, CA","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","Yao, Jiewen; Zimmer, Vincent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
